CARHR000010.1	CARHR172190.1	NA
CARHR000730.1	CARHR274340.1	2.5501
CARHR000730.1	CARHR131690.1	3.1779
CARHR000730.1	CARHR131680.1	7.2371
CARHR000730.1	CARHR163320.1	1.4173
CARHR000730.1	CARHR133790.1	1.7589
CARHR000730.1	CARHR066200.1	NA
CARHR000730.1	CARHR018420.1	NA
CARHR000730.1	CARHR173920.1	7.1281
CARHR000730.1	CARHR147510.1	NA
CARHR000730.1	CARHR250200.1	8.7879
CARHR000730.1	CARHR223950.1	NA
CARHR000730.1	CARHR131280.1	NA
CARHR000730.1	CARHR115430.1	3.206
CARHR000730.1	CARHR156080.1	7.3671
CARHR000740.1	CARHR248510.1	1.0518
CARHR000740.1	CARHR248500.1	0.9952
CARHR000740.1	CARHR132690.1	NA
CARHR000740.1	CARHR085980.1	NA
CARHR000740.1	CARHR206790.1	NA
CARHR000740.1	CARHR006140.1	NA
CARHR000740.1	CARHR249730.1	NA
CARHR000740.1	CARHR001710.1	NA
CARHR000750.1	CARHR141240.1	1.4069
CARHR000750.1	CARHR047630.1	1.8357
CARHR000750.1	CARHR248470.1	0.9821
CARHR000750.1	CARHR272790.1	NA
CARHR000750.1	CARHR190350.1	NA
CARHR000750.1	CARHR204920.1	NA
CARHR000750.1	CARHR062430.1	NA
CARHR000750.1	CARHR026550.1	NA
CARHR000750.1	CARHR013520.1	NA
CARHR000750.1	CARHR147140.1	NA
CARHR000750.1	CARHR166740.1	NA
CARHR000750.1	CARHR114340.1	NA
CARHR000750.1	CARHR112940.1	NA
CARHR000750.1	CARHR247240.1	NA
CARHR000750.1	CARHR140700.1	NA
CARHR000750.1	CARHR247250.1	NA
CARHR000750.1	CARHR120320.1	NA
CARHR000750.1	CARHR247220.1	NA
CARHR000750.1	CARHR075050.1	NA
CARHR000750.1	CARHR157310.1	NA
CARHR000750.1	CARHR149040.1	NA
CARHR000750.1	CARHR247230.1	NA
CARHR000750.1	CARHR277300.1	NA
CARHR000750.1	CARHR264830.1	NA
CARHR000750.1	CARHR013510.1	NA
CARHR000750.1	CARHR260330.1	NA
CARHR000750.1	CARHR292650.1	NA
CARHR000750.1	CARHR181100.1	NA
CARHR000750.1	CARHR181080.1	NA
CARHR000750.1	CARHR181000.1	NA
CARHR000750.1	CARHR053680.1	NA
CARHR000760.1	CARHR023400.1	0.4646
CARHR000760.1	CARHR000770.1	0.9284
CARHR000760.1	CARHR248380.1	1.044
CARHR000760.1	CARHR189580.1	3.4769
CARHR000760.1	CARHR258480.1	4.1439
CARHR000760.1	CARHR259040.1	NA
CARHR000760.1	CARHR019830.1	NA
CARHR000760.1	CARHR232480.1	NA
CARHR000770.1	CARHR248380.1	0.8631
CARHR000770.1	CARHR023400.1	0.9383
CARHR000770.1	CARHR000760.1	NA
CARHR000770.1	CARHR189580.1	4.0099
CARHR000770.1	CARHR259040.1	NA
CARHR000770.1	CARHR258480.1	3.4835
CARHR000780.1	CARHR248370.1	0.9291
CARHR000780.1	CARHR189550.1	NA
CARHR000780.1	CARHR154760.1	NA
CARHR000780.1	CARHR247640.1	NA
CARHR000780.1	CARHR112400.1	NA
CARHR000780.1	CARHR273270.1	NA
CARHR000780.1	CARHR275110.1	NA
CARHR000780.1	CARHR267640.1	NA
CARHR000780.1	CARHR114300.1	NA
CARHR000780.1	CARHR114260.1	9.1018
CARHR000780.1	CARHR257300.1	NA
CARHR000780.1	CARHR263410.1	NA
CARHR000780.1	CARHR263400.1	NA
CARHR000780.1	CARHR263480.1	9.243
CARHR000790.1	CARHR248360.1	1.3069
CARHR000790.1	CARHR291900.1	NA
CARHR000790.1	CARHR255220.1	3.6238
CARHR000790.1	CARHR230810.1	7.133
CARHR000790.1	CARHR007660.1	NA
CARHR000790.1	CARHR131800.1	NA
CARHR000790.1	CARHR004750.1	NA
CARHR000790.1	CARHR221960.1	NA
CARHR000790.1	CARHR085970.1	NA
CARHR000790.1	CARHR032610.1	NA
CARHR000790.1	CARHR097860.1	NA
CARHR000790.1	CARHR200640.1	3.6274
CARHR000800.1	CARHR248970.1	0.8153
CARHR000800.1	CARHR141330.1	1.6236
CARHR000800.1	CARHR255250.1	2.7985
CARHR000800.1	CARHR007690.1	4.0929
CARHR000800.1	CARHR138970.1	NA
CARHR000800.1	CARHR149990.1	NA
CARHR000800.1	CARHR010310.1	NA
CARHR000800.1	CARHR283810.1	NA
CARHR000800.1	CARHR108690.1	NA
CARHR000800.1	CARHR244780.1	NA
CARHR000800.1	CARHR193990.1	NA
CARHR000800.1	CARHR089660.1	NA
CARHR000800.1	CARHR066740.1	NA
CARHR000800.1	CARHR018710.1	NA
CARHR000800.1	CARHR093360.1	NA
CARHR000800.1	CARHR143970.1	NA
CARHR000800.1	CARHR137950.1	NA
CARHR000800.1	CARHR043750.1	NA
CARHR000800.1	CARHR157500.1	NA
CARHR000800.1	CARHR225990.1	NA
CARHR000800.1	CARHR066760.1	NA
CARHR000800.1	CARHR277200.1	NA
CARHR000800.1	CARHR176640.1	NA
CARHR000800.1	CARHR018630.1	NA
CARHR000800.1	CARHR058850.1	7.2809
CARHR000800.1	CARHR157260.1	NA
CARHR000800.1	CARHR225570.1	NA
CARHR000800.1	CARHR203030.1	NA
CARHR000800.1	CARHR060160.1	NA
CARHR000800.1	CARHR124500.1	NA
CARHR000800.1	CARHR293810.1	NA
CARHR000800.1	CARHR006000.1	NA
CARHR000800.1	CARHR198680.1	NA
CARHR000800.1	CARHR021400.1	NA
CARHR000800.1	CARHR070090.1	NA
CARHR000800.1	CARHR054290.1	NA
CARHR000800.1	CARHR164080.1	NA
CARHR000800.1	CARHR133290.1	NA
CARHR000800.1	CARHR080300.1	NA
CARHR000800.1	CARHR009860.1	NA
CARHR000800.1	CARHR186820.1	NA
CARHR000800.1	CARHR218320.1	3.5606
CARHR000800.1	CARHR141020.1	NA
CARHR000800.1	CARHR260970.1	NA
CARHR000800.1	CARHR248890.1	NA
CARHR000800.1	CARHR262930.1	NA
CARHR000800.1	CARHR003070.1	NA
CARHR000800.1	CARHR033170.1	NA
CARHR000800.1	CARHR171450.1	NA
CARHR000800.1	CARHR075970.1	NA
CARHR000800.1	CARHR291160.1	NA
CARHR000800.1	CARHR178900.1	NA
CARHR000800.1	CARHR079380.1	NA
CARHR000800.1	CARHR257390.1	NA
CARHR000800.1	CARHR277490.1	NA
CARHR000800.1	CARHR229980.1	NA
CARHR000800.1	CARHR067590.1	NA
CARHR000800.1	CARHR009580.1	NA
CARHR000800.1	CARHR043280.1	NA
CARHR000800.1	CARHR055670.1	NA
CARHR000800.1	CARHR019300.1	7.5509
CARHR000800.1	CARHR079370.1	NA
CARHR000800.1	CARHR054480.1	NA
CARHR000800.1	CARHR043740.1	8.4297
CARHR000800.1	CARHR146790.1	9.3946
CARHR000800.1	CARHR271400.1	NA
CARHR000800.1	CARHR088200.1	NA
CARHR000800.1	CARHR261980.1	9.1968
CARHR000800.1	CARHR216670.1	NA
CARHR000800.1	CARHR001330.1	NA
CARHR000800.1	CARHR029660.1	NA
CARHR000800.1	CARHR231810.1	NA
CARHR000800.1	CARHR176150.1	NA
CARHR000800.1	CARHR039180.1	NA
CARHR000800.1	CARHR191670.1	NA
CARHR000800.1	CARHR133190.1	NA
CARHR000800.1	CARHR119230.1	NA
CARHR000800.1	CARHR037880.1	NA
CARHR000800.1	CARHR220800.1	NA
CARHR000800.1	CARHR082720.1	NA
CARHR000800.1	CARHR176160.1	NA
CARHR000800.1	CARHR191690.1	NA
CARHR000800.1	CARHR097120.1	NA
CARHR000800.1	CARHR225560.1	NA
CARHR000800.1	CARHR041820.1	NA
CARHR000800.1	CARHR291670.1	NA
CARHR000800.1	CARHR212160.1	NA
CARHR000800.1	CARHR060540.1	NA
CARHR000800.1	CARHR152690.1	NA
CARHR000800.1	CARHR080740.1	NA
CARHR000800.1	CARHR236710.1	NA
CARHR000800.1	CARHR123680.1	NA
CARHR000800.1	CARHR238860.1	NA
CARHR000800.1	CARHR128270.1	NA
CARHR000800.1	CARHR079060.1	NA
CARHR000800.1	CARHR236430.1	4.9206
CARHR000800.1	CARHR230110.1	9.288
CARHR000800.1	CARHR098940.1	NA
CARHR000810.1	CARHR141340.1	2.2832
CARHR000810.1	CARHR248980.1	1.1309
CARHR000810.1	CARHR171840.1	NA
CARHR000820.1	CARHR248990.1	1.0215
CARHR000820.1	CARHR250920.1	NA
CARHR000820.1	CARHR242920.1	NA
CARHR000820.1	CARHR054790.1	NA
CARHR000820.1	CARHR138020.1	NA
CARHR000820.1	CARHR169530.1	NA
CARHR000820.1	CARHR009410.1	NA
CARHR000820.1	CARHR194510.1	NA
CARHR000820.1	CARHR092740.1	NA
CARHR000820.1	CARHR010790.1	NA
CARHR000820.1	CARHR100720.1	NA
CARHR000820.1	CARHR025760.1	NA
CARHR000820.1	CARHR039260.1	NA
CARHR000820.1	CARHR110790.1	NA
CARHR000820.1	CARHR061500.1	NA
CARHR000820.1	CARHR293520.1	NA
CARHR000820.1	CARHR169070.1	NA
CARHR000820.1	CARHR094220.1	NA
CARHR000820.1	CARHR100490.1	NA
CARHR000820.1	CARHR100690.1	NA
CARHR000820.1	CARHR213940.1	NA
CARHR000820.1	CARHR270640.1	NA
CARHR000820.1	CARHR063620.1	NA
CARHR000820.1	CARHR023960.1	NA
CARHR000820.1	CARHR042400.1	NA
CARHR000820.1	CARHR286640.1	NA
CARHR000820.1	CARHR122100.1	NA
CARHR000820.1	CARHR109070.1	NA
CARHR000820.1	CARHR100680.1	NA
CARHR000820.1	CARHR200310.1	NA
CARHR000820.1	CARHR050460.1	NA
CARHR000820.1	CARHR240690.1	NA
CARHR000820.1	CARHR030910.1	NA
CARHR000820.1	CARHR211080.1	NA
CARHR000820.1	CARHR069920.1	NA
CARHR000820.1	CARHR007360.1	NA
CARHR000820.1	CARHR242300.1	NA
CARHR000820.1	CARHR096290.1	NA
CARHR000820.1	CARHR249670.1	NA
CARHR000820.1	CARHR210530.1	NA
CARHR000820.1	CARHR081660.1	NA
CARHR000820.1	CARHR212380.1	NA
CARHR000820.1	CARHR075730.1	NA
CARHR000820.1	CARHR198240.1	NA
CARHR000820.1	CARHR134500.1	NA
CARHR000820.1	CARHR270100.1	NA
CARHR000820.1	CARHR084280.1	NA
CARHR000820.1	CARHR194410.1	NA
CARHR000820.1	CARHR104010.1	NA
CARHR000820.1	CARHR121610.1	NA
CARHR000820.1	CARHR129840.1	NA
CARHR000820.1	CARHR145240.1	6.7472
CARHR000820.1	CARHR133880.1	NA
CARHR000820.1	CARHR267010.1	NA
CARHR000820.1	CARHR165470.1	NA
CARHR000820.1	CARHR276500.1	NA
CARHR000820.1	CARHR143400.1	NA
CARHR000820.1	CARHR243940.1	NA
CARHR000820.1	CARHR014810.1	NA
CARHR000820.1	CARHR101140.1	NA
CARHR000820.1	CARHR210020.1	NA
CARHR000820.1	CARHR024330.1	NA
CARHR000820.1	CARHR083350.1	NA
CARHR000820.1	CARHR065190.1	NA
CARHR000820.1	CARHR021110.1	NA
CARHR000820.1	CARHR055990.1	NA
CARHR000820.1	CARHR154780.1	NA
CARHR000820.1	CARHR240210.1	NA
CARHR000820.1	CARHR007330.1	NA
CARHR000820.1	CARHR148100.1	NA
CARHR000820.1	CARHR122240.1	NA
CARHR000820.1	CARHR122220.1	NA
CARHR000820.1	CARHR142420.1	NA
CARHR000820.1	CARHR007680.1	NA
CARHR000820.1	CARHR076820.1	NA
CARHR000820.1	CARHR072020.1	6.7772
CARHR000820.1	CARHR007320.1	7.9435
CARHR000820.1	CARHR122140.1	NA
CARHR000820.1	CARHR290920.1	NA
CARHR000820.1	CARHR006380.1	NA
CARHR000820.1	CARHR033720.1	NA
CARHR000820.1	CARHR230400.1	NA
CARHR000820.1	CARHR176190.1	NA
CARHR000820.1	CARHR124230.1	NA
CARHR000820.1	CARHR122200.1	NA
CARHR000820.1	CARHR043660.1	NA
CARHR000820.1	CARHR103580.1	NA
CARHR000820.1	CARHR108900.1	NA
CARHR000820.1	CARHR251680.1	NA
CARHR000820.1	CARHR241480.1	NA
CARHR000820.1	CARHR037840.1	NA
CARHR000820.1	CARHR230550.1	7.9996
CARHR000820.1	CARHR062860.1	NA
CARHR000820.1	CARHR024940.1	NA
CARHR000820.1	CARHR205870.1	NA
CARHR000820.1	CARHR255080.1	NA
CARHR000820.1	CARHR007350.1	NA
CARHR000820.1	CARHR187510.1	NA
CARHR000820.1	CARHR144880.1	NA
CARHR000820.1	CARHR104720.1	NA
CARHR000820.1	CARHR169730.1	NA
CARHR000820.1	CARHR269200.1	NA
CARHR000820.1	CARHR230360.1	NA
CARHR000820.1	CARHR273250.1	NA
CARHR000820.1	CARHR252970.1	NA
CARHR000820.1	CARHR138300.1	NA
CARHR000820.1	CARHR217710.1	NA
CARHR000820.1	CARHR230270.1	NA
CARHR000820.1	CARHR230610.1	NA
CARHR000820.1	CARHR017130.1	NA
CARHR000820.1	CARHR137090.1	NA
CARHR000820.1	CARHR007340.1	NA
CARHR000820.1	CARHR230620.1	NA
CARHR000820.1	CARHR230290.1	NA
CARHR000820.1	CARHR092730.1	NA
CARHR000820.1	CARHR051810.1	NA
CARHR000820.1	CARHR039100.1	9.1399
CARHR000820.1	CARHR270540.1	6.9751
CARHR000820.1	CARHR259020.1	NA
CARHR000820.1	CARHR273170.1	NA
CARHR000820.1	CARHR259030.1	NA
CARHR000820.1	CARHR067770.1	NA
CARHR000820.1	CARHR172560.1	NA
CARHR000820.1	CARHR041980.1	NA
CARHR000820.1	CARHR154830.1	NA
CARHR000820.1	CARHR114300.1	NA
CARHR000820.1	CARHR228960.1	NA
CARHR000820.1	CARHR218660.1	NA
CARHR000820.1	CARHR043620.1	NA
CARHR000820.1	CARHR089780.1	NA
CARHR000820.1	CARHR029080.1	NA
CARHR000820.1	CARHR254870.1	NA
CARHR000820.1	CARHR146480.1	NA
CARHR000820.1	CARHR230330.1	NA
CARHR000820.1	CARHR254880.1	NA
CARHR000820.1	CARHR102140.1	NA
CARHR000820.1	CARHR105580.1	NA
CARHR000820.1	CARHR227990.1	NA
CARHR000820.1	CARHR277850.1	NA
CARHR000820.1	CARHR228050.1	NA
CARHR000820.1	CARHR230630.1	NA
CARHR000820.1	CARHR055320.1	NA
CARHR000820.1	CARHR059110.1	NA
CARHR000820.1	CARHR021950.1	NA
CARHR000820.1	CARHR230310.1	NA
CARHR000820.1	CARHR044810.1	NA
CARHR000820.1	CARHR230320.1	NA
CARHR000820.1	CARHR062140.1	NA
CARHR000820.1	CARHR122160.1	NA
CARHR000820.1	CARHR184630.1	NA
CARHR000820.1	CARHR202270.1	NA
CARHR000820.1	CARHR045880.1	NA
CARHR000820.1	CARHR276010.1	NA
CARHR000820.1	CARHR267030.1	9.4846
CARHR000820.1	CARHR197320.1	NA
CARHR000820.1	CARHR060310.1	NA
CARHR000820.1	CARHR021670.1	NA
CARHR000820.1	CARHR087990.1	NA
CARHR000820.1	CARHR070770.1	7.7323
CARHR000820.1	CARHR097260.1	6.9953
CARHR000820.1	CARHR019680.1	NA
CARHR000820.1	CARHR064000.1	NA
CARHR000820.1	CARHR230350.1	NA
CARHR000820.1	CARHR042030.1	NA
CARHR000820.1	CARHR122110.1	NA
CARHR000820.1	CARHR029110.1	NA
CARHR000820.1	CARHR069910.1	NA
CARHR000820.1	CARHR273220.1	NA
CARHR000820.1	CARHR146970.1	NA
CARHR000820.1	CARHR154800.1	NA
CARHR000820.1	CARHR122190.1	6.3885
CARHR000820.1	CARHR264010.1	NA
CARHR000820.1	CARHR021680.1	NA
CARHR000820.1	CARHR109450.1	NA
CARHR000820.1	CARHR116570.1	NA
CARHR000820.1	CARHR230300.1	NA
CARHR000820.1	CARHR115130.1	NA
CARHR000820.1	CARHR045890.1	NA
CARHR000820.1	CARHR255070.1	NA
CARHR000820.1	CARHR227100.1	6.8576
CARHR000820.1	CARHR183120.1	NA
CARHR000820.1	CARHR154820.1	NA
CARHR000820.1	CARHR121170.1	NA
CARHR000820.1	CARHR007440.1	NA
CARHR000820.1	CARHR250610.1	NA
CARHR000820.1	CARHR230210.1	NA
CARHR000820.1	CARHR016090.1	NA
CARHR000820.1	CARHR292320.1	NA
CARHR000820.1	CARHR228010.1	NA
CARHR000820.1	CARHR065480.1	NA
CARHR000820.1	CARHR284640.1	4.0259
CARHR000820.1	CARHR250360.1	NA
CARHR000820.1	CARHR238410.1	NA
CARHR000820.1	CARHR029070.1	NA
CARHR000820.1	CARHR273130.1	NA
CARHR000820.1	CARHR099740.1	NA
CARHR000820.1	CARHR267880.1	NA
CARHR000820.1	CARHR033550.1	NA
CARHR000820.1	CARHR230200.1	NA
CARHR000820.1	CARHR255040.1	NA
CARHR000820.1	CARHR253020.1	NA
CARHR000820.1	CARHR227830.1	NA
CARHR000820.1	CARHR114260.1	NA
CARHR000820.1	CARHR239900.1	NA
CARHR000820.1	CARHR279690.1	NA
CARHR000820.1	CARHR247310.1	NA
CARHR000820.1	CARHR273230.1	NA
CARHR000820.1	CARHR158740.1	8.7259
CARHR000820.1	CARHR030020.1	NA
CARHR000820.1	CARHR179000.1	NA
CARHR000820.1	CARHR230500.1	NA
CARHR000820.1	CARHR285150.1	NA
CARHR000820.1	CARHR134150.1	NA
CARHR000820.1	CARHR042010.1	NA
CARHR000820.1	CARHR254380.1	4.2985
CARHR000820.1	CARHR273210.1	NA
CARHR000820.1	CARHR293090.1	NA
CARHR000820.1	CARHR259510.1	NA
CARHR000820.1	CARHR252350.1	9.5435
CARHR000820.1	CARHR099900.1	NA
CARHR000820.1	CARHR256500.1	NA
CARHR000820.1	CARHR205970.1	NA
CARHR000820.1	CARHR189510.1	NA
CARHR000820.1	CARHR091000.1	NA
CARHR000820.1	CARHR230230.1	NA
CARHR000820.1	CARHR254390.1	9.9411
CARHR000820.1	CARHR144380.1	NA
CARHR000820.1	CARHR206440.1	NA
CARHR000820.1	CARHR095180.1	NA
CARHR000820.1	CARHR118480.1	NA
CARHR000820.1	CARHR057450.1	NA
CARHR000820.1	CARHR116390.1	NA
CARHR000820.1	CARHR165420.1	NA
CARHR000820.1	CARHR252560.1	NA
CARHR000820.1	CARHR106160.1	NA
CARHR000820.1	CARHR055330.1	NA
CARHR000820.1	CARHR196730.1	NA
CARHR000820.1	CARHR273200.1	NA
CARHR000820.1	CARHR236910.1	NA
CARHR000820.1	CARHR026430.1	NA
CARHR000820.1	CARHR027940.1	NA
CARHR000820.1	CARHR237280.1	5.7061
CARHR000820.1	CARHR011580.1	NA
CARHR000820.1	CARHR230450.1	NA
CARHR000820.1	CARHR101850.1	NA
CARHR000820.1	CARHR154790.1	NA
CARHR000820.1	CARHR073350.1	NA
CARHR000820.1	CARHR131550.1	4.4852
CARHR000820.1	CARHR029060.1	NA
CARHR000820.1	CARHR063740.1	NA
CARHR000820.1	CARHR050770.1	NA
CARHR000820.1	CARHR215590.1	6.6669
CARHR000820.1	CARHR258870.1	NA
CARHR000820.1	CARHR045310.1	NA
CARHR000820.1	CARHR078920.1	NA
CARHR000820.1	CARHR197600.1	NA
CARHR000820.1	CARHR122230.1	NA
CARHR000820.1	CARHR285280.1	NA
CARHR000820.1	CARHR041950.1	NA
CARHR000820.1	CARHR057010.1	NA
CARHR000820.1	CARHR185290.1	NA
CARHR000820.1	CARHR042040.1	NA
CARHR000820.1	CARHR224380.1	NA
CARHR000820.1	CARHR206450.1	NA
CARHR000820.1	CARHR045870.1	NA
CARHR000820.1	CARHR273240.1	NA
CARHR000820.1	CARHR252960.1	7.5479
CARHR000820.1	CARHR041970.1	NA
CARHR000820.1	CARHR228080.1	NA
CARHR000820.1	CARHR219840.1	NA
CARHR000820.1	CARHR203010.1	NA
CARHR000820.1	CARHR248430.1	NA
CARHR000820.1	CARHR247640.1	NA
CARHR000820.1	CARHR066910.1	NA
CARHR000820.1	CARHR051120.1	NA
CARHR000820.1	CARHR016600.1	NA
CARHR000820.1	CARHR230480.1	NA
CARHR000820.1	CARHR230410.1	NA
CARHR000820.1	CARHR255050.1	NA
CARHR000820.1	CARHR196260.1	NA
CARHR000820.1	CARHR165610.1	NA
CARHR000820.1	CARHR279560.1	NA
CARHR000820.1	CARHR154840.1	NA
CARHR000820.1	CARHR255000.1	NA
CARHR000820.1	CARHR029120.1	NA
CARHR000820.1	CARHR280910.1	NA
CARHR000820.1	CARHR041990.1	NA
CARHR000820.1	CARHR050980.1	NA
CARHR000820.1	CARHR088430.1	NA
CARHR000820.1	CARHR163260.1	NA
CARHR000820.1	CARHR236270.1	NA
CARHR000820.1	CARHR112400.1	NA
CARHR000820.1	CARHR243310.1	NA
CARHR000820.1	CARHR033770.1	NA
CARHR000820.1	CARHR104950.1	NA
CARHR000820.1	CARHR091190.1	NA
CARHR000820.1	CARHR041960.1	NA
CARHR000820.1	CARHR058430.1	NA
CARHR000820.1	CARHR230660.1	NA
CARHR000820.1	CARHR183830.1	NA
CARHR000820.1	CARHR051210.1	NA
CARHR000820.1	CARHR210220.1	NA
CARHR000820.1	CARHR050970.1	NA
CARHR000820.1	CARHR227980.1	NA
CARHR000820.1	CARHR211280.1	NA
CARHR000820.1	CARHR157870.1	NA
CARHR000820.1	CARHR051090.1	NA
CARHR000820.1	CARHR011240.1	NA
CARHR000820.1	CARHR021690.1	7.6978
CARHR000820.1	CARHR149660.1	NA
CARHR000820.1	CARHR277630.1	NA
CARHR000820.1	CARHR161130.1	NA
CARHR000820.1	CARHR051240.1	NA
CARHR000820.1	CARHR215810.1	NA
CARHR000820.1	CARHR254970.1	NA
CARHR000820.1	CARHR073440.1	NA
CARHR000820.1	CARHR236060.1	NA
CARHR000820.1	CARHR161120.1	NA
CARHR000820.1	CARHR051230.1	NA
CARHR000820.1	CARHR234950.1	NA
CARHR000820.1	CARHR267640.1	NA
CARHR000820.1	CARHR109680.1	NA
CARHR000820.1	CARHR011550.1	NA
CARHR000820.1	CARHR293250.1	NA
CARHR000820.1	CARHR063220.1	NA
CARHR000820.1	CARHR144560.1	NA
CARHR000820.1	CARHR122180.1	NA
CARHR000820.1	CARHR250370.1	NA
CARHR000820.1	CARHR248410.1	NA
CARHR000820.1	CARHR073450.1	NA
CARHR000820.1	CARHR194110.1	NA
CARHR000820.1	CARHR261720.1	NA
CARHR000820.1	CARHR094700.1	NA
CARHR000820.1	CARHR285260.1	NA
CARHR000820.1	CARHR059810.1	NA
CARHR000820.1	CARHR192780.1	NA
CARHR000820.1	CARHR011670.1	3.3807
CARHR000820.1	CARHR216690.1	NA
CARHR000820.1	CARHR228070.1	NA
CARHR000820.1	CARHR211900.1	5.4821
CARHR000820.1	CARHR178200.1	NA
CARHR000820.1	CARHR079460.1	NA
CARHR000820.1	CARHR275110.1	NA
CARHR000820.1	CARHR154890.1	NA
CARHR000820.1	CARHR011520.1	NA
CARHR000820.1	CARHR042640.1	NA
CARHR000820.1	CARHR051100.1	NA
CARHR000820.1	CARHR271430.1	NA
CARHR000820.1	CARHR051160.1	NA
CARHR000820.1	CARHR006530.1	NA
CARHR000820.1	CARHR174330.1	NA
CARHR000820.1	CARHR039770.1	NA
CARHR000820.1	CARHR063730.1	NA
CARHR000820.1	CARHR279700.1	NA
CARHR000820.1	CARHR050960.1	NA
CARHR000820.1	CARHR169820.1	NA
CARHR000820.1	CARHR275250.1	NA
CARHR000820.1	CARHR236430.1	NA
CARHR000820.1	CARHR067620.1	NA
CARHR000820.1	CARHR063200.1	8.9066
CARHR000820.1	CARHR109690.1	6.3767
CARHR000820.1	CARHR069240.1	NA
CARHR000820.1	CARHR016730.1	NA
CARHR000820.1	CARHR269410.1	NA
CARHR000820.1	CARHR230640.1	8.5781
CARHR000820.1	CARHR107010.1	NA
CARHR000820.1	CARHR214970.1	NA
CARHR000820.1	CARHR247910.1	NA
CARHR000820.1	CARHR131810.1	NA
CARHR000820.1	CARHR230470.1	NA
CARHR000820.1	CARHR024650.1	NA
CARHR000820.1	CARHR051140.1	NA
CARHR000820.1	CARHR010090.1	NA
CARHR000820.1	CARHR166520.1	NA
CARHR000820.1	CARHR194620.1	NA
CARHR000820.1	CARHR263480.1	NA
CARHR000820.1	CARHR212300.1	NA
CARHR000820.1	CARHR237270.1	9.3106
CARHR000820.1	CARHR016640.1	NA
CARHR000820.1	CARHR018530.1	NA
CARHR000820.1	CARHR011660.1	6.934
CARHR000820.1	CARHR017840.1	NA
CARHR000820.1	CARHR041940.1	NA
CARHR000820.1	CARHR050950.1	NA
CARHR000820.1	CARHR170070.1	NA
CARHR000820.1	CARHR226970.1	NA
CARHR000820.1	CARHR018990.1	6.015
CARHR000820.1	CARHR055150.1	NA
CARHR000820.1	CARHR250660.1	NA
CARHR000820.1	CARHR076100.1	NA
CARHR000820.1	CARHR122150.1	NA
CARHR000820.1	CARHR016620.1	NA
CARHR000820.1	CARHR154760.1	5.0387
CARHR000820.1	CARHR113110.1	NA
CARHR000820.1	CARHR163740.1	NA
CARHR000820.1	CARHR228060.1	NA
CARHR000820.1	CARHR050860.1	NA
CARHR000820.1	CARHR042420.1	NA
CARHR000820.1	CARHR016610.1	NA
CARHR000820.1	CARHR124450.1	NA
CARHR000820.1	CARHR211920.1	NA
CARHR000820.1	CARHR073880.1	7.6349
CARHR000820.1	CARHR021660.1	NA
CARHR000820.1	CARHR150390.1	NA
CARHR000820.1	CARHR202770.1	NA
CARHR000820.1	CARHR083190.1	NA
CARHR000820.1	CARHR018520.1	NA
CARHR000830.1	CARHR248990.1	0.8072
CARHR000830.1	CARHR250920.1	NA
CARHR000830.1	CARHR054790.1	NA
CARHR000830.1	CARHR242920.1	NA
CARHR000830.1	CARHR138020.1	NA
CARHR000830.1	CARHR194510.1	NA
CARHR000830.1	CARHR092740.1	NA
CARHR000830.1	CARHR009410.1	NA
CARHR000830.1	CARHR169530.1	6.8177
CARHR000850.1	CARHR249030.1	0.9833
CARHR000850.1	CARHR084010.1	8.5353
CARHR000850.1	CARHR265650.1	3.9939
CARHR000850.1	CARHR210490.1	7.102
CARHR000870.1	CARHR019990.1	NA
CARHR000870.1	CARHR068510.1	NA
CARHR000890.1	CARHR255310.1	NA
CARHR000890.1	CARHR246160.1	NA
CARHR000890.1	CARHR158770.1	NA
CARHR000890.1	CARHR233740.1	NA
CARHR000890.1	CARHR259250.1	NA
CARHR000890.1	CARHR279800.1	NA
CARHR000890.1	CARHR114120.1	NA
CARHR000890.1	CARHR264520.1	6.3536
CARHR000890.1	CARHR048700.1	5.7037
CARHR000890.1	CARHR012760.1	6.5646
CARHR000900.1	CARHR141420.1	2.7417
CARHR000910.1	CARHR249110.1	0.9103
CARHR000910.1	CARHR022340.1	NA
CARHR000910.1	CARHR051930.1	NA
CARHR000910.1	CARHR011120.1	NA
CARHR000910.1	CARHR136290.1	NA
CARHR000910.1	CARHR071250.1	NA
CARHR000910.1	CARHR118370.1	NA
CARHR000910.1	CARHR084430.1	NA
CARHR000910.1	CARHR167110.1	NA
CARHR000910.1	CARHR082700.1	NA
CARHR000930.1	CARHR001520.1	0.1982
CARHR000930.1	CARHR001530.1	0.3696
CARHR000970.1	CARHR249180.1	0.7757
CARHR000970.1	CARHR141580.1	2.5337
CARHR000980.1	CARHR046660.1	NA
CARHR000980.1	CARHR272940.1	NA
CARHR000990.1	CARHR046660.1	3.3476
CARHR000990.1	CARHR272940.1	NA
CARHR001000.1	CARHR249200.1	1.0139
CARHR001000.1	CARHR171980.1	2.7635
CARHR001000.1	CARHR141660.1	2.964
CARHR001010.1	CARHR249210.1	1.0595
CARHR001010.1	CARHR255510.1	NA
CARHR001010.1	CARHR231180.1	NA
CARHR001010.1	CARHR063350.1	NA
CARHR001010.1	CARHR076410.1	NA
CARHR001010.1	CARHR197410.1	4.5513
CARHR001010.1	CARHR149790.1	NA
CARHR001010.1	CARHR264410.1	NA
